,GeneralRanking,Surname First name Club / Team,Cat.,Class.Cat.,Time,Difference/ 1st,Nationality
0,1,9  - THEVENARD Xavier,SEH,1,20:44:16,00:00:00,FR
1,2,38  - HAJNAL Robert CEP ROMANIA,SEH,2,21:31:37,00:47:21,RO
2,3,25  - GAMITO Jordi COMPRESSPORT,SEH,3,21:57:01,01:12:45,ES
3,4,78  - SCHJØLBERG Hallvard LOFOTEN ULTRALOPERKLUBB,V1H,1,22:06:59,01:22:43,NO
4,5,50  - HALL Damian INOV-8,V1H,2,22:35:13,01:50:57,GB
5,6,97  - EVARTS Roman TREKKING TEAM 007,SEH,4,22:38:29,01:54:13,LV
6,7,75  - RUZZA Stefano TEAM VIBRAM,SEH,5,23:02:19,02:18:03,IT
7,8,40  - CLAVERY Erik TUB,SEH,6,23:07:53,02:23:37,FR
8,9,56  - GRASEL Florian TRAILBEARD 4 BOA RUNNING TEAM,SEH,7,23:12:03,02:27:47,AT
9,10,16  - DOMINGUEZ LEDO Javier TEAM VIBRAM,V1H,3,23:27:08,02:42:52,ES
10,11,55  - RESTORP Petter,V1H,4,23:34:35,02:50:19,FR
11,12,461  - HAMMES Christopher,SEH,8,23:47:39,03:03:23,US
12,13,67  - BLANCHARD Mathieu SALOMON,SEH,9,23:53:02,03:08:46,FR
13,14,45  - DEVILLAZ Sacha,SEH,10,23:59:55,03:15:39,FR
14,15,611  - MANN Jim HELM HILL,V1H,5,24:07:27,03:23:11,GB
15,16,465  - GRAIRI Emir ESTY,SEH,11,24:16:21,03:32:05,TN
16,17,480  - CURMER Gregoire Compressport international / Ravanel&C0,SEH,12,24:26:59,03:42:43,FR
17,18,710  - BOSQUET Matthieu,SEH,13,24:27:00,03:42:44,FR
18,19,73  - MASTROTTO Roberto Team La Sportiva,SEH,14,24:28:23,03:44:07,IT
19,20,463  - COLLOMB-PATTON Bertrand CAEN ATHLETIC CLUB,V1H,6,24:33:26,03:49:10,FR
20,21,63  - FREITAS Francisco MUR/ ACD JARDIM DA SERRA,V1H,7,24:40:38,03:56:22,PT
21,22,117  - GIBLIN Paul COMPRESSPORT,V1H,8,24:47:49,04:03:33,GB
22,23,112  - LI Kuo COLUMBIA,SEH,15,25:03:37,04:19:21,CN
23,24,102  - HENRI Sebastien SMAC,SEH,16,25:08:08,04:23:52,FR
24,25,95  - BURNET Jean CMBM,SEH,17,25:19:01,04:34:45,FR
25,26,484  - DUJARDIN Vincent TEAM DU CAILLOU,SEH,18,25:32:11,04:47:55,FR
26,27,496  - OGLY Krystian KULINARNA STRONA MOCY/KB SOBOTKA,V1H,9,25:34:32,04:50:16,PL
27,28,44  - OLSON Timothy RUN MINDFUL,SEH,19,25:40:09,04:55:53,US
28,29,54  - FERRARI Ugo CESNI TEAM TRAIL,SEH,20,25:40:11,04:55:55,FR
29,30,473  - WILLCOCK Patrick PILATUS AIRCRAFT LTD,V1H,10,25:44:57,05:00:41,ZA
30,31,519  - GONÇALVES Hugo Trail Team Bifase,SEH,21,25:56:12,05:11:56,PT
31,32,28  - JONSSON Thorbergur 66 NORTH,SEH,22,25:57:11,05:12:55,IS
32,33,53  - CANEPA Francesca MONTBLANCTEAM,V1F,1,26:03:48,05:19:32,IT
33,34,491  - FREI Patrick,V1H,11,26:04:05,05:19:49,CH
34,35,46  - FRAILE AZPEITIA Uxue TEAM VIBRAM,V1F,2,26:08:07,05:23:51,ES
35,36,517  - MAUBOUSSIN Anthony VIKING CRUISES,SEH,23,26:10:42,05:26:26,FR
36,37,90  - PAULY Jocelyne GIVRES DE NAY,V1F,3,26:15:11,05:30:55,FR
37,38,508  - HILDEBRAND Christian TEAM HÄMPI,SEH,24,26:15:28,05:31:12,DE
38,39,364  - SHEPHERD Samuel,SEH,25,26:17:20,05:33:04,GB
39,40,47  - PASCALL Beth RAIDLIGHT,SEF,1,26:26:40,05:42:24,GB
40,41,531  - BENVENUTO Enzo TEAM GRIVEL,V1H,12,26:38:56,05:54:40,IT
41,42,82  - GOUDARD Sebastien EATT,SEH,26,26:40:03,05:55:47,FR
42,43,104  - FORI Katia COLUMBIA,V1F,4,26:40:43,05:56:27,IT
43,44,368  - GUIBERT Clement,SEH,27,26:41:21,05:57:05,FR
44,45,58  - BLANCHET Juliette TEAM VIBRAM,SEF,2,26:48:44,06:04:28,FR
45,46,101  - CASADELLA GARDELLA Jordi TRC ARESTA,V1H,13,27:03:40,06:19:24,ES
46,47,86  - PIANO Paolo DELTA SPEDIZIONI,V1H,14,27:07:20,06:23:04,IT
47,48,545  - SAPIHA Serhii TURE,V1H,15,27:09:18,06:25:02,UA
48,49,507  - ARRO Luca,SEH,28,27:11:36,06:27:20,IT
49,50,100  - LAYFIELD Dominick,V1H,16,27:12:29,06:28:13,US
50,50,634  - JOHANSSON Jonas,SEH,29,27:12:29,06:28:13,SE
51,52,481  - POUS SOLER Benet APOSTOLS DE BACUS,SEH,30,27:16:02,06:31:46,ES
52,53,577  - MENANTEAU Matthieu,V1H,17,27:16:22,06:32:06,FR
53,54,89  - WERMESCHER Ildiko,V2F,1,27:19:36,06:35:20,HU
54,55,77  - BRADLEY Catherine,SEF,3,27:22:11,06:37:55,US
55,56,652  - ABLANEDO Daniel AVIENTU SOLORUNNERS,V1H,18,27:22:30,06:38:14,ES
56,57,482  - NIKOLOVA Maria,SEF,4,27:23:20,06:39:04,BG
57,58,94  - VIARD Tony CAHM RUNNING CONSEIL,SEH,31,27:24:40,06:40:24,FR
58,59,730  - TANG Eric,SEH,32,27:25:32,06:41:16,AU
59,60,506  - HOUGH Andrew,V1H,19,27:29:36,06:45:20,NZ
60,61,23  - LICKTEIG Kaci,SEF,5,27:31:39,06:47:23,US
61,62,837  - KOVACS Zsolt ACCENTURE,SEH,33,27:31:57,06:47:41,RO
62,63,474  - FELCH Florian Team Trail Magazin,SEH,34,27:32:57,06:48:41,DE
63,64,522  - LI Haifeng TGJJ,V1H,20,27:33:26,06:49:10,CN
64,65,60  - MACIEL Fernanda The North Face Red Bull,SEF,6,27:35:11,06:50:55,BR
65,66,490  - GABIOUD Candide ALPSXPERIENCE,SEH,35,27:44:36,07:00:20,CH
66,67,308  - CAULET David,SEH,36,27:45:45,07:01:29,FR
67,68,815  - HELIER Clement AO CHARENTON,SEH,37,27:45:48,07:01:32,FR
68,69,945  - MAKSIMAINEN Ville HOKA ONE ONE TEAM FINLAND,V1H,21,27:47:49,07:03:33,FI
69,70,469  - GRANT Sophie BETA RUNNING TEAM,SEF,7,27:51:07,07:06:51,GB
70,71,528  - KLEIN Guillaume ESTY,SEH,38,28:00:15,07:15:59,FR
71,72,315  - GEZELA Mariusz TJ EUFORIABIEGACZA.PL,SEH,39,28:09:44,07:25:28,PL
72,73,49  - LECOMTE Emilie ASJ74,SEF,8,28:10:03,07:25:47,FR
73,74,573  - CERDEIRA Frederico MONSANTO RUNNING TEAM,SEH,40,28:12:07,07:27:51,PT
74,75,615  - BAVIERA PASCUAL Agustín CORREMON TRAIL,SEH,41,28:20:23,07:36:07,ES
75,76,637  - SORARRAIN Eñaut OARGI,SEH,42,28:20:36,07:36:20,ES
76,77,503  - DUMONT Clement ASIA TRAIL,V1H,22,28:20:48,07:36:32,FR
77,78,464  - TORTINI Riccardo SPIRITO TRAIL // rabbitTRAILelite,SEH,43,28:21:02,07:36:46,IT
78,79,530  - NADRI Samir CAP GARONNE,ESH,1,28:21:05,07:36:49,FR
79,80,747  - ACHARD Benjamin Tête d'Or Runners / CAF Lyon - Villeurbanne,SEH,44,28:24:16,07:40:00,FR
80,81,559  - GOUTTEVIN Nicolas TEAM ENDURANCE SHOP 13 / AIX ATHLE PROVENCE,SEH,45,28:32:42,07:48:26,FR
81,82,664  - RIBEIRO Tiago ORALKLASS-AMIGOS DO TRAIL,SEH,46,28:34:16,07:50:00,PT
82,83,597  - TARISSAN Julien CAF ANNECY,SEH,47,28:34:47,07:50:31,FR
83,84,788  - CUESTA CALVO Roberto BURGALESES EN EL RUNNING. SPORTEATE.,SEH,48,28:37:01,07:52:45,ES
84,85,312  - BARRAU Fabien,SEH,49,28:38:40,07:54:24,FR
85,86,96  - HENRIQUES Nathalie,V1F,5,28:38:57,07:54:41,FR
86,87,781  - GUSTAFSSON Johan,V1H,23,28:39:13,07:54:57,SE
87,88,2851  - WAŁCZYK Krzysztof,SEH,50,28:40:12,07:55:56,PL
88,89,569  - SELMOUNI Ali,SEH,51,28:40:57,07:56:41,DZ
89,90,499  - SASS Alexander CMBM,V1H,24,28:45:11,08:00:55,DE
90,91,500  - SORIANO Olivier RACING LETI - ENDURANCE SHOP ECHIROLLES,V1H,25,28:46:11,08:01:55,FR
91,92,954  - GIRARD Ludovic CAP BOLLENE,V1H,26,28:48:43,08:04:27,FR
92,93,69  - NIMES PEREZ Teresa COMPRESSPORT INTERNACIONAL,SEF,9,28:50:12,08:05:56,ES
93,94,374  - TANG Lei,SEH,52,28:51:26,08:07:10,CA
94,95,466  - NIWA Kaori SALOMON,V1F,6,28:52:10,08:07:54,JP
95,96,722  - KAMENDY Marian Forcarunning,V1H,27,29:03:35,08:19:19,SK
96,97,618  - GIORDANO Ivan PODISTICA CANALET,SEH,53,29:06:51,08:22:35,IT
97,98,114  - THIERY Benoit,SEH,54,29:09:11,08:24:55,FR
98,99,655  - SAULO Alberto Team Marguareis,V1H,28,29:10:47,08:26:31,IT
99,100,80  - FORNONI Daniele TRAILMARKET RACING TEAM,V1H,29,29:11:29,08:27:13,IT
100,101,622  - VAN ZYL Andre-Hugo,SEH,55,29:14:03,08:29:47,ZA
101,102,99  - KINNEGIM Irene TEAM RAIDLIGHT NL-B,V1F,7,29:16:34,08:32:18,NL
102,103,488  - ZALEJSKI Nicolas MACADAM07,SEH,56,29:20:05,08:35:49,FR
103,104,624  - NORMANDEAU Yanick LA CLINIQUE DU COUREUR,V1H,30,29:22:39,08:38:23,CA
104,105,767  - IGLESIAS MARTELL José Luis C4 CACERES,V1H,31,29:23:10,08:38:54,ES
105,106,724  - ALFAGEME Nicolas,V1H,32,29:24:50,08:40:34,AR
